Client_ID,Client_Name,Business,Client_Group,Status,Waves,Division,Vertical,Business_Model,Frequency,Primary_KPI,Comparison
P006,Papa John's Greensboro,Papa John's,Papa John's Carolinas,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P007,Papa John's Indianapolis,Papa John's,Papa John's Nashville + Indianapolis,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P008,Papa John's Kansas City,Papa John's,Papa John's St Louis + Kansas City,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P009,Papa John's Lexington,Papa John's,Papa John's Louisville + Lexington,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P010,Papa John's Louisville,Papa John's,Papa John's Louisville + Lexington,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P011,Papa John's Mobile/Pensacola,Papa John's,Papa John's Mobile/Pensacola + Wilmington,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P012,Papa John's Nashville,Papa John's,Papa John's Nashville + Indianapolis,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P013,Papa John's Raleigh,Papa John's,Papa John's Carolinas,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P014,Papa John's St Louis,Papa John's,Papa John's St Louis + Kansas City,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P015,Papa John's Terre Haute,Papa John's,Papa John's Jeff City Terre Haute Topeka,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P016,Papa John's Topeka,Papa John's,Papa John's Jeff City Terre Haute Topeka,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P017,Papa John's Wilmington,Papa John's,Papa John's Mobile/Pensacola + Wilmington,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P018,Papa Johns - Corporate Store Campaigns,Papa John's,Papa Johns - Corporate Store Campaigns,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P019,Papa Johns Single Store Campaigns - Franchise,Papa John's,Papa Johns Single Store Campaigns - Franchise,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P020,Pentair Pool,Pentair Pool,Pentair Pool,Active,3,Enterprise,Home Services,B2C,Monthly,Leads,Previous Period
P021,Peoplease,Peoplease,Peoplease,Active,1,Echo,,B2B,Monthly,Website Conversions,Last Year Same Period
P022,Pinehurst Surgical Clinic,Pinehurst Surgical Clinic,Pinehurst Surgical Clinic,Inactive,,Echo,Medical,B2C,Monthly,Website Conversions,Last Year Same Period
P023,Power Curbers,Power Curbers,Power Curbers,Active,2,Echo,Home Services,B2B,Monthly,Website Conversions,Last Year Same Period
P024,"Pupsi, Inc.","Pupsi, Inc.",Pupsi Inc.,Inactive,,Echo,Lifestyle,B2C,Monthly,Website Conversions,Last Year Same Period
R001,Raleigh Paving,Raleigh Paving,Raleigh Paving,Active,2,Echo,Home Services,B2B,Monthly,Website Conversions,Last Year Same Period
R002,Revels Turf & Tractor,Revels Turf & Tractor,Revels Turf & Tractor,Active,1,Echo,Home Services,B2B,Monthly,Website Conversions,Last Year Same Period
S001,Safe Step Walk-In Tub,Safe Step,Safe Step Walk-In Tub,Active,,Enterprise,Home Services,B2C,Monthly,Leads,Previous Period
S002,SERVPRO,SERVPRO,SERVPRO,Inactive,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
S003,Shed World of Long Island,Shed World of Long Island,Shed World of Long Island,Active,2,Echo,Home Services,B2C,Monthly,Clicks,Last Year Same Period
S004,Sit Means Sit - All Pro Dogs,Sit Means Sit,Sit Means Sit (Melissa O'Donnell Group),Inactive,,Echo,Lifestyle,B2C,Monthly,Leads,Last Year Same Period
